location_zip	fill_color	region_name
50277	#f09897	NORTHERN PLAINS
50278	#f09897	NORTHERN PLAINS
50309	#f09897	NORTHERN PLAINS
50310	#f09897	NORTHERN PLAINS
50311	#f09897	NORTHERN PLAINS
50312	#f09897	NORTHERN PLAINS
50313	#f09897	NORTHERN PLAINS
50314	#f09897	NORTHERN PLAINS
50315	#f09897	NORTHERN PLAINS
50316	#f09897	NORTHERN PLAINS
50317	#f09897	NORTHERN PLAINS
50320	#f09897	NORTHERN PLAINS
50321	#f09897	NORTHERN PLAINS
50322	#f09897	NORTHERN PLAINS
50323	#f09897	NORTHERN PLAINS
50325	#f09897	NORTHERN PLAINS
50327	#f09897	NORTHERN PLAINS
50401	#f09897	NORTHERN PLAINS
50420	#f09897	NORTHERN PLAINS
50421	#f09897	NORTHERN PLAINS
50423	#f09897	NORTHERN PLAINS
50424	#f09897	NORTHERN PLAINS
50428	#f09897	NORTHERN PLAINS
50430	#f09897	NORTHERN PLAINS
50433	#f09897	NORTHERN PLAINS
50434	#f09897	NORTHERN PLAINS
50436	#f09897	NORTHERN PLAINS
50438	#f09897	NORTHERN PLAINS
50439	#f09897	NORTHERN PLAINS
50440	#f09897	NORTHERN PLAINS
50441	#f09897	NORTHERN PLAINS
50444	#f09897	NORTHERN PLAINS
50446	#f09897	NORTHERN PLAINS
50447	#f09897	NORTHERN PLAINS
50448	#f09897	NORTHERN PLAINS
50449	#f09897	NORTHERN PLAINS
50450	#f09897	NORTHERN PLAINS
50451	#f09897	NORTHERN PLAINS
50452	#f09897	NORTHERN PLAINS
50453	#f09897	NORTHERN PLAINS
50456	#f09897	NORTHERN PLAINS
50457	#f09897	NORTHERN PLAINS
50458	#f09897	NORTHERN PLAINS
50459	#f09897	NORTHERN PLAINS
50464	#f09897	NORTHERN PLAINS
50465	#f09897	NORTHERN PLAINS
50468	#f09897	NORTHERN PLAINS
50469	#f09897	NORTHERN PLAINS
50470	#f09897	NORTHERN PLAINS
50472	#f09897	NORTHERN PLAINS
50473	#f09897	NORTHERN PLAINS
50475	#f09897	NORTHERN PLAINS
50477	#f09897	NORTHERN PLAINS
50478	#f09897	NORTHERN PLAINS
